"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"verso7.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:34:43 BRT"	"3674"	"82"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso7.mp3.reapeaks-slack"
"verso8.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 09:26:48 BRT"	"292972"	"83"	"f9da7d74d8de106246f04c834d6aaf56"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso8.mp3"
"verso8.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 09:26:48 BRT"	"1940"	"83"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso8.mp3-slack"
"verso8.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:35:30 BRT"	"9386"	"84"	"72e41dbcac5647aaf4bf1f188f4f2b35"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso8.mp3.reapeaks"
"verso8.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:35:30 BRT"	"2902"	"84"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso8.mp3.reapeaks-slack"
"verso9 (online-audio-converter.com).mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:59:18 BRT"	"9450"	"85"	"598a797365f6a7dd90ffcab3ffec980a"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9 (online-audio-converter.com).mp3.reapeaks"
"verso9 (online-audio-converter.com).mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:59:18 BRT"	"2838"	"85"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9 (online-audio-converter.com).mp3.reapeaks-slack"
"verso9.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:46:00 BRT"	"7198"	"86"	"4b7aa91cf2f6894df241c79e78f540ba"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9.mp3.reapeaks"
"verso9.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:46:00 BRT"	"994"	"86"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9.mp3.reapeaks-slack"
"verso9[1] (online-audio-converter.com).mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:02:17 BRT"	"228652"	"87"	"5ee91c3609dbe5b77e57b79ea1c441a9"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9[1] (online-audio-converter.com).mp3"
"verso9[1] (online-audio-converter.com).mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:02:17 BRT"	"724"	"87"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9[1] (online-audio-converter.com).mp3-slack"
"verso9[1] (online-audio-converter.com).mp3:Zone.Identifier"	".Identifier"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:02:17 BRT"	"147"	"87"	"cf6441cbd86f9e492be439cb2344a63d"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9[1] (online-audio-converter.com).mp3:Zone.Identifier"
"verso9[1] (online-audio-converter.com).mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:02:41 BRT"	"7322"	"88"	"00665519980d130178129bdb1c7edb2b"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9[1] (online-audio-converter.com).mp3.reapeaks"
"verso9[1] (online-audio-converter.com).mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:02:41 BRT"	"870"	"88"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso9[1] (online-audio-converter.com).mp3.reapeaks-slack"
"violao.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 09:26:48 BRT"	"963052"	"109"	"270867037b352a734505109f67c6ea40"	"unknown"	"rrwxrwxrwx"	"/img_T:/violao.mp3"
"violao.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 09:26:48 BRT"	"3604"	"109"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/violao.mp3-slack"
"violao.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:28:17 BRT"	"30898"	"110"	"f6fbca2fce360cfb23683aa15a8d6f67"	"unknown"	"rrwxrwxrwx"	"/img_T:/violao.mp3.reapeaks"
"violao.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:28:17 BRT"	"1870"	"110"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/violao.mp3.reapeaks-slack"
"$OrphanFiles"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"v---------"	"/img_T:/$OrphanFiles"

